Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn)
Brekke I Sogn;SN52930;09.04.1940;10,9
Brekke I Sogn;SN52930;10.04.1940;0
Brekke I Sogn;SN52930;11.04.1940;0,7
Brekke I Sogn;SN52930;12.04.1940;8,1
Brekke I Sogn;SN52930;13.04.1940;0
Brekke I Sogn;SN52930;14.04.1940;20,2
Brekke I Sogn;SN52930;15.04.1940;10,6
Brekke I Sogn;SN52930;16.04.1940;0
Brekke I Sogn;SN52930;17.04.1940;0
Brekke I Sogn;SN52930;18.04.1940;0
Brekke I Sogn;SN52930;19.04.1940;7,1
Brekke I Sogn;SN52930;20.04.1940;0
Brekke I Sogn;SN52930;21.04.1940;0
Brekke I Sogn;SN52930;22.04.1940;3,3
Brekke I Sogn;SN52930;23.04.1940;0
Brekke I Sogn;SN52930;24.04.1940;0
Brekke I Sogn;SN52930;25.04.1940;0
Brekke I Sogn;SN52930;26.04.1940;0
Brekke I Sogn;SN52930;27.04.1940;0
Brekke I Sogn;SN52930;28.04.1940;0
Brekke I Sogn;SN52930;29.04.1940;0
Brekke I Sogn;SN52930;30.04.1940;0
Brekke I Sogn;SN52930;01.05.1940;0
Brekke I Sogn;SN52930;02.05.1940;0
Brekke I Sogn;SN52930;03.05.1940;0
Brekke I Sogn;SN52930;04.05.1940;0
Brekke I Sogn;SN52930;05.05.1940;0
Brekke I Sogn;SN52930;06.05.1940;0
Brekke I Sogn;SN52930;07.05.1940;10
Brekke I Sogn;SN52930;08.05.1940;0
Brekke I Sogn;SN52930;09.05.1940;25,9
Brekke I Sogn;SN52930;10.05.1940;12,7
Brekke I Sogn;SN52930;11.05.1940;10,7
Brekke I Sogn;SN52930;12.05.1940;0
Brekke I Sogn;SN52930;13.05.1940;7,1
Brekke I Sogn;SN52930;14.05.1940;2,4
Brekke I Sogn;SN52930;15.05.1940;10,9
Brekke I Sogn;SN52930;16.05.1940;0
Brekke I Sogn;SN52930;17.05.1940;0
Brekke I Sogn;SN52930;18.05.1940;0
Brekke I Sogn;SN52930;19.05.1940;0
Brekke I Sogn;SN52930;20.05.1940;0
Brekke I Sogn;SN52930;21.05.1940;0,9
Brekke I Sogn;SN52930;22.05.1940;0
Brekke I Sogn;SN52930;23.05.1940;0
Brekke I Sogn;SN52930;24.05.1940;0
Brekke I Sogn;SN52930;25.05.1940;0
Brekke I Sogn;SN52930;26.05.1940;0
Brekke I Sogn;SN52930;27.05.1940;0
Brekke I Sogn;SN52930;28.05.1940;0
Brekke I Sogn;SN52930;29.05.1940;0
Brekke I Sogn;SN52930;30.05.1940;0
Brekke I Sogn;SN52930;31.05.1940;0
Brekke I Sogn;SN52930;01.06.1940;0
Brekke I Sogn;SN52930;02.06.1940;0,9
Brekke I Sogn;SN52930;03.06.1940;9,1
Brekke I Sogn;SN52930;04.06.1940;0,7
Brekke I Sogn;SN52930;05.06.1940;0
Brekke I Sogn;SN52930;06.06.1940;0
Brekke I Sogn;SN52930;07.06.1940;10,2
Brekke I Sogn;SN52930;08.06.1940;0
Brekke I Sogn;SN52930;09.06.1940;0
Brekke I Sogn;SN52930;10.06.1940;0
Brekke I Sogn;SN52930;11.06.1940;0
Brekke I Sogn;SN52930;12.06.1940;0
Brekke I Sogn;SN52930;13.06.1940;1,2
Brekke I Sogn;SN52930;14.06.1940;14,1
Brekke I Sogn;SN52930;15.06.1940;0
Brekke I Sogn;SN52930;16.06.1940;1,2
Brekke I Sogn;SN52930;17.06.1940;0
Brekke I Sogn;SN52930;18.06.1940;0
Brekke I Sogn;SN52930;19.06.1940;0
Brekke I Sogn;SN52930;20.06.1940;0
Brekke I Sogn;SN52930;21.06.1940;0
Brekke I Sogn;SN52930;22.06.1940;9,3
Brekke I Sogn;SN52930;23.06.1940;14,2
Brekke I Sogn;SN52930;24.06.1940;1,9
Brekke I Sogn;SN52930;25.06.1940;0
Brekke I Sogn;SN52930;26.06.1940;6,1
Brekke I Sogn;SN52930;27.06.1940;35,7
Brekke I Sogn;SN52930;28.06.1940;2,5
Brekke I Sogn;SN52930;29.06.1940;0
Brekke I Sogn;SN52930;30.06.1940;0
Brekke I Sogn;SN52930;01.07.1940;1,2
Brekke I Sogn;SN52930;02.07.1940;1,4
Brekke I Sogn;SN52930;03.07.1940;8,6
Brekke I Sogn;SN52930;04.07.1940;9,1
Brekke I Sogn;SN52930;05.07.1940;33,9
Brekke I Sogn;SN52930;06.07.1940;0,7
Brekke I Sogn;SN52930;07.07.1940;0
Brekke I Sogn;SN52930;08.07.1940;16,9
